hist_avg_price,hist_stdev_price,ct,name,latest_avg_price,latest_stdev_price,avg_30d,item_score,classes,slots,rank_in_slot,min_seller,min_price
242682.92682926828,100970.89655549024,41,Secrets of the Planes,,,242682.92682926831,595.0,65535,18432,1,,
142.5,18.317377426626162,20,Beacon of Loathing,,,142.50000000000003,461.5,65535,18432,2,,
10.0,0.0,100,Frost Covered Tome,,,,68.0,32797,18432,3,,
14.459459459459458,6.9505978743422352,37,Frosted Gem,,,,54.0,15906,18432,4,,
91.569627045881447,62.624256904278646,3727,Wrapped Entropy Serpent Spine,,,,-11.5,413,1073152,1,,
3332.4150596877871,1397.0049858566331,1089,Torch of Judgment,,,1000.0,654.5,546,26624,1,,
2788.7439945092656,2072.261764285191,1457,Orb of Secrets,,,5000.0,642.5,15360,26624,2,,
4839.21568627451,6697.0458761917143,765,Umbracite Swarm Orb,,,,590.0,512,26624,3,,
1962.8227194492256,256.22246106050534,581,Eye of Darkness,,,2000.0,575.0,32767,26624,4,,
3203.2789408866997,1425.192675333285,1624,Denon's Drums of Declivity,,,,574.0,128,26624,5,,
319.070904645477,423.22823359158167,1227,Wand of Turning,,,,557.5,2048,26624,6,,
4938.1350681536551,2916.2860446476329,1614,Scepter of Calekor,7000.0,0.0,7000.0,465.0,15906,26624,7,Mhongo,7000
125.90027700831025,96.109492102212656,361,Wand of Deflection,,,,420.0,15360,26624,8,,
1331.3675213675215,499.27682221691174,819,Shadowed Storm Sphere,,,1600.0,375.0,546,26624,9,,
525.521472392638,524.72297926460146,489,Liquified Orb,,,1116.1137440758291,365.0,15360,26624,10,,
1692.2697368421054,1275.4801679639695,1216,Wand of Everlasting Water,,,100.0,352.5,65535,26624,11,,
200.0,0.0,43,Vyemm's Right Eye,,,,340.0,32767,26624,12,,
300.0,0.0,29,Vyemm's Left Eye,,,,290.0,32767,26624,13,,
500.0,0.0,100,Mrylokar's Dagger of Vengeance,,,500.0,275.0,256,26624,14,,
200.0,0.0,43,Nevederia's Right Eye,,,,274.5,32767,26624,15,,
594.08695652173947,259.20697358885423,138,Orb of Satisfaction,,,,262.5,65535,26624,16,,
800.0,0.0,82,Orb of Lost Souls,,,,182.5,15360,26624,17,,
500.0,0.0,79,Nevederia's Left Eye,,,,147.5,32767,26624,18,,
201.27118644067798,136.9829721374436,236,Iron Scroll of War,,,200.0,145.0,15906,26624,19,,
3071.7710424710422,2369.5923722271041,2590,Ancient Tome of Lost Lore,5000.0,0.0,5000.0,131.0,546,26624,20,Stacy,5000
48.422053231939159,75.4824622138829,789,Sanguine Tome,,,,128.0,15360,26624,21,,
99.686520376175622,51.813606795656483,319,Glowing Bath Token,,,,112.0,65535,26624,22,,
42.0608020698577,33.077944969379551,773,Iksar Hide Manual,,,67.667682926829244,87.5,32446,26624,23,,
400.59266227657577,464.37363056020564,1063,Idol of the Underking,,,269.4584837545126,56.5,65535,26624,24,,
17.604368932038835,7.6581760303349915,824,Scorpikis Claw Impaler,,,3.1777777777777776,6.0,16785,26624,25,,
263.55587808417994,211.88192637609649,689,Di'zok Wristsnapper,,,100.0,0.5,128,26624,26,,
5108.9906700593729,5415.4638720264438,4716,Radiant Mass of Affliction,17000.0,8000.8483113326429,20342.723004694835,0.0,65535,26624,27,Friselz,9000
4771.0586536325245,4051.4168764496694,4501,Ikaav Summonstone,2500.0,0.0,3454.3230016313214,0.0,65535,26624,27,Miseko,2500
3000.0,0.0,4,Silver-Flecked Crystal of Agony,,,,0.0,65535,26624,27,,
3881.2849162011189,1880.4884121843386,716,Veintapper's Stone,,,2265.3846153846157,0.0,65535,26624,27,,
9494.33962264151,965.78102605101958,265,Black Diamond of Regeneration,,,,0.0,65535,26624,27,,
6161.6161616161617,1145.2640794287631,297,Flattened Permafrost,,,,0.0,65535,26624,27,,
14905.017921146955,7976.3976280000943,558,Permafrost Chunk of Marring,,,,0.0,65535,26624,27,,
15737.905759162304,4990.7700774481809,955,Radiant Emerald of Protection,,,,0.0,65535,26624,27,,
9862.3853211009173,346.08631732819788,109,Radiant Diamond of Regeneration,,,,0.0,65535,26624,27,,
10013.729508196722,5774.5455055153143,488,Radiant Permafrost,,,2500.0,0.0,65535,26624,27,,
200.0,0.0,10,Bloodstone of Agony,,,,0.0,65535,26624,27,,
2601.9607843137255,1002.8652409552393,102,Radiant Fragment of Dread,,,,0.0,65535,26624,27,,
9000.0,0.0,15,Sparkling Emerald of Protection,,,,0.0,65535,26624,27,,
3500.0,0.0,128,Slimestone Fragment of Dread,,,,0.0,65535,26624,27,,
1661.9897959183661,555.56777295190773,784,Pristine Emerald of Harm,,,1547.7815699658702,0.0,65535,26624,27,,
1048.6030267753201,678.48764586868128,2577,Pail of Slop,1000.0,0.0,1000.0,-1.0,65535,26624,42,Alibaba,1000
1048.6030267753201,678.48764586868128,2577,Pail of Slop,1000.0,0.0,1000.0,-6.0,65535,26624,43,Alibaba,1000
5.3225806451612909,1.235008276002729,93,Sacrificial Dagger,,,,-9.0,65535,26624,44,,
39.666666666666657,36.578060985439691,45,Ans Xundrau xi Tekar,175.0,0.0,39.666666666666664,-9.5,15773,26624,45,Frogg,175
1503.7082818294166,1499.1123095937073,809,Orb of the Sky,,,,-10.0,65535,26624,46,,
1000.0,0.0,61,Fabled Dragoon Dirk,,,,-12.0,32153,26624,47,,
80.0,0.0,133,Shrieking Ahlspiess,,,,-25.5,256,26624,48,,
4784.0909090909108,2715.5885708315695,616,Undead Dragon Sinew,,,4749.1961414790976,-1.0,65384,1728,1,,
712.06443768996962,356.15182936374725,4935,Orb of Gathered Power,,,82.782608695652186,150.0,65535,2072574,1,,
457.74468085106372,302.987359815643,1175,Gemstone of Enhanced Health,,,,100.0,65535,2072574,2,,
1114.8937931034482,1685.8333532879537,725,Froststone of Health,,,1984.0726256983239,100.0,65535,2072574,2,,
2846.438746438746,2144.9227103733087,702,Ritualist's Stone of Flowing Health,,,,8.0,65535,2072574,4,,
750.0,0.0,296,Light Stone of Life,,,,8.0,65535,2072574,4,,
179.99213483146073,175.48458681045409,890,Cooling Stone of Health,,,333.43636363636358,6.0,65535,2072574,6,,
1823.6111111111111,528.1048269574344,180,Ooze-Covered Stone,,,,6.0,65535,2072574,6,,
19475.783475783475,2636.4717546340817,351,Polished Gemstone of Aggression,,,,0.0,65535,2072574,8,,
385.86956521739114,125.90253879633369,46,Enchanted Orb of Hardened Mud,,,,0.0,65535,2072574,8,,
588.09815950920279,342.58491752067943,2445,Polished Chunk of Rage,,,500.0,0.0,65535,2072574,8,,
5061.1849390919151,4338.3925587750891,3612,Sharp-Edged Pearl Shard,7000.0,2000.2769124277722,7197.4522292993624,0.0,65535,2072574,8,Stacy,5000
1910.2564102564102,498.31023511298014,39,Ritualist's Stone of Rage,,,,0.0,65535,2072574,8,,
1000.0,0.0,642,Burning Acid Shard,,,1000.0,0.0,65535,2072574,8,,
1549.5927601809949,829.95455433799361,1105,Nightstone of the Vampire Slayer,,,,0.0,65535,2072574,8,,
1000.0,0.0,286,McVaxius` Horn of War,1000.0,0.0,1000.0,15137.5,128,16384,1,Stacy,1000
1000.0,0.0,286,McVaxius` Horn of War,1000.0,0.0,1000.0,4999.0,128,16384,2,Stacy,1000
1000.0,0.0,286,McVaxius` Horn of War,1000.0,0.0,1000.0,4999.0,128,16384,2,Stacy,1000
603.0906148867316,602.90234946564385,618,Bladestopper,,,319.31818181818181,3335.5,32767,16384,4,,
22230.655339805809,17554.604838951807,1648,Selo`s Drums of the March,395.0,0.0,210.26315789473685,3229.0,128,16384,5,Frogg,395
75.0,0.0,251,Shield of the Slain Unicorn,,,,3184.5,21,16384,6,,
53051.5524311658,26602.953843807321,1707,Lana's Crystal Shield,100000.0,0.0,100000.0,1591.0,65535,16384,7,Jefe,100000
70505.617977528076,57132.1219653107,445,Battleworn Dented Aegis,,,20000.0,1577.5,21,16384,8,,
25327.667667667665,12535.041283443737,4995,Muramite Aggressor's Bulwark,,,26275.862068965514,1577.5,413,16384,8,,
39720.248660235789,35793.247771502036,5598,Howling Blood-Stained Bulwark,52999.999999999993,51079.670610599416,60441.930618401195,1565.0,65535,16384,10,Zaura,12000
33605.007805219022,14973.758177718602,25752,Bulwark of Lost Souls,31666.666666666661,4714.1367383255056,31334.17721518988,1555.0,65535,16384,11,Jumpa,25000
56334.867788461583,39585.383120861639,42432,Aegis of Midnight,44333.333333333292,6650.0574762301612,39849.373900809012,1532.5,21,16384,12,Miseko,35000
43614.873979815733,22964.575655922967,11395,Aegis of Discord,,,23878.881987577639,1424.5,32767,16384,13,,
46145.038167938896,5538.6100548363174,262,Razor-Edged Shield of War,,,,1222.5,21,16384,14,,
34651.251751518015,21035.133847981127,2141,Bulwark of Living Stone,,,15333.318777292574,1220.0,29,16384,15,,
